,revenue
281338,488533726
419704,132807427
7131,300257475
405177,0
374720,525573161
500852,15200000
98566,477200000
554241,44400000
431821,0
454458,27530241
483455,0
72105,549368315
573699,66925842
518068,112790210
648043,0
550738,6488082
49026,1081041287
716706,0
280217,190514361
661950,0
13474,7766240
546554,309232797
362584,0
648964,0
608813,0
27205,825532764
682110,0
10585,44196684
473149,5132274
348350,392952373
471335,0
508763,17643857
602411,0
635744,0
449985,0
599399,0
8277,18610260
10192,752600867
647325,0
397567,125983972
13186,0
425,383257136
283984,17422935
127585,747862775
79082,0
101267,32726956
625568,39238300
581988,0
334521,3719383
259316,809342332
10195,449326618
4935,236049757
228165,311594032
514710,0
56292,694713380
245891,88761661
335988,605425157
57214,100000000
694,44781695
611207,0
61979,0
594634,0
10823,14000000
708362,0
254128,473990832
440471,0
535845,4
1930,757930663
8587,763455561
1579,120654337
121,926287400
381288,278454358
658777,0
553604,5171088
23827,193355800
523077,0
205584,150680864
120,871368364
91314,1104054072
385448,0
318256,0
329996,215832199
122,1118888979
73861,0
673544,0
339964,225874228
278154,408579038
68721,1214811252
105,381109762
385128,0
537056,0
619278,0
573560,0
1091,19629760
381749,0
615466,0
534490,0
339846,177856751
438689,2006704
680,214179088
285,961000000
18239,709827462
72190,531865000
321612,1263521126
582596,0
532638,0
653598,0
8363,121463226
49051,1021103568
227348,86362372
82702,609123048
428707,0
416194,0
228326,97437106
429351,67131266
585,562816256
110420,0
9286,117719158
390734,269980
9902,28650575
159824,473226958
508965,0
500921,0
653615,0
513347,496334
541305,829900
504562,18377736
449562,32677774
339967,3029287
150540,857611174
540247,0
400535,75836683
576379,0
570670,130234661
460793,0
618585,0
406997,305937718
603,463517383
345887,102084362
641483,0
12242,0
617786,0
23823,0
606117,0
257475,0
16304,0
76492,358375603
102651,758539785
497698,0
615,611899420
522417,0
11836,140161792
726285,0
403300,4612788
9737,141407024
529485,14590514
587693,0
428292,0
294254,312296056
324852,1031552585
736690,0
617402,0
58,1065659812
257344,243637091
343668,410902662
176,103911669
565214,0
466272,374251247
166426,794861794
295830,0
544431,0
369972,100546153
652004,0
405965,0
278924,125729635
647785,0
147441,268031828
589885,0
60935,28128670
168259,1515047671
557968,0
10193,1066969703
4247,278019771
396422,306515884
420426,4001919
59429,0
426543,59522646
1865,1045713802
726887,0
72571,205703818
57800,877244782
181808,1332539889
438590,0
446894,0
600301,0
8275,27500000
16907,0
250546,257047661
6479,585410052
140607,2068223624
2770,287553595
593427,0
73245,0
645541,0
9023,122563539
118,474968763
434245,0
46195,484635760
619264,0
57158,958400000
82690,471222889
8392,45000000
514847,8621288
45243,254455986
218454,0
274854,146936910
501170,72281712
527776,0
338970,274650803
399402,31672678
505948,643593
502425,0
491926,7464
536115,0
706510,0
271706,84552250
272,374218673
38757,592461732
627093,0
466282,0
424139,253688035
433249,0
593035,0
347375,66308758
300668,43070915
613178,0
576156,0
305470,142337240
576004,0
453071,0
311324,331957105
2062,623722818
6466,114908830
262500,295238201
593298,0
578,470653000
375588,86493046
665251,0
460321,0
654299,0
687838,0
458594,48818723
492188,2300000
454619,91244913
39108,0
124905,529076069
39538,137551594
449756,0
22,655011224
522162,125641396
863,497366869
19185,5835247
587065,521149
397852,1891907
556678,25155355
14154,0
515789,358772
539617,0
619441,2197075
16910,0
538831,21000000
14001,22217407
619918,0
634649,0
556574,0
390043,176586701
693158,0
487674,0
228161,368871007
628917,0
345938,92924405
547012,0
536869,73515024
7555,113244290
582570,0
150689,543514353
109439,362000072
546230,0
26123,5021219
4011,73707461
632587,0
63311,5774854
225886,126069509
286217,630161890
49530,173930596
575803,0
10138,623933331
399361,0
9502,631744560
474395,28646544
172385,500188435
47971,346147658
432130,0
204082,43058898
280,520000000
475210,0
11932,50671850
632304,0
676691,0
572751,0
270303,14674076
565179,0
76338,644571402
633604,0
539649,0
587808,0
550,100853753
71552,234989584
419479,0
157350,288747895
723860,0
521777,72457330
401478,0
613096,396640
357416,0
471506,0
586097,0
198375,0
448776,0
520541,0
8355,886686817
523931,5303
460648,0
403310,0
480414,122033739
71672,0
131634,653428261
348,104931801
426865,0
18491,20000000
638507,0
4248,141220678
508138,0
125509,0
332562,433888866
487242,0
524216,34265
156022,192330738
218,78371200
390635,15540379
509635,0
585213,0
733278,0
554590,0
406990,27975429
569094,0
496349,0
371370,0
476968,22525668
291805,334901337
128,159414369
8681,226830568
207703,414351546
732472,0
568637,0
487680,0
454286,5728940
346672,81093313
24593,0
530382,0
549053,121550750
554908,0
10191,494878759
438799,41657844
400136,0
184345,25343661
592279,0
710356,0
242828,34949567
171823,0
49521,668045518
484510,0
589970,0
21208,77912251
351819,21164799
503919,17964238
49444,631910531
467615,0
539537,47078545
8358,429632142
39107,0
62177,538983207
339984,73983359
594633,0
62211,743559607
139038,60141683
9378,68467960
291870,94073028
32657,226497209
496704,0
9792,69623713
102899,519311965
244786,13092000
23202,0
534039,0
378108,19496308
278,28341469
80321,746921274
49021,57777106
1691,35728183
531306,0
401981,151572634
950,660998756
625450,0
519473,0
8274,0
47933,389681935
10166,15360553
93456,970761885
469916,0
105864,332207671
514999,0
948,0
13,677387716
205596,233555708
20352,543513985
457335,835102
11679,71073932
407655,0
307081,91709827
1885,91077276
9373,107071655
506680,0
44728,13422333
10144,211343479
454467,0
637663,0
98,465361176
664413,9458590
396806,0
71676,132563930
59315,0
664297,0
9730,32980880
70981,403170142
560066,0
1690,81979826
401513,19454845
400157,119559110
597219,0
197,210000000
520466,0
39254,299268508
422803,42880428
297761,746846894
11224,263591415
513421,0
342588,0
53182,337580051
101,45284974
449443,80509622
412157,0
39105,0
11917,113857533
357786,0
198184,104399548
483906,0
19908,102391540
615017,0
486947,0
10925,14237880
493922,79336821
82675,376141306
686092,0
400090,855756
206647,880674609
663,139352633
561,230884728
177677,682330139
238,245066411
567609,57615777
75656,351723989
374853,0
552532,0
409502,2000000
531454,0
430155,2363584
956,397850012
153518,349779543
497,286801374
12,940335536
11470,16951798
377,25504513
119450,710644566
604,738599701
624808,0
11187,20560255
200727,4439431
430040,32517248
646332,0
408355,3916195
43947,572809
480857,0
509874,0
482273,0
579792,0
630220,0
608195,178592
416144,16872691
326359,0
653904,0
534338,0
315837,169801921
595671,0
10285,15938065
9806,631442092
560704,0
633163,0
256274,40100000
61927,0
6145,91354215
539651,0
364,280000000
137116,197183546
12153,113086475
9725,21722776
494471,0
646711,0
452910,0
24752,0
954,457731198
379291,0
812,504050219
38234,0
537739,0
399035,119942387
565005,0
547912,1502605
857,481840909
375794,12421716
530385,47862188
241259,299457024
395991,25754775
44251,0
567973,6890000
523849,0
612571,0
520720,0
515195,88092097
550201,0
374195,0
442065,3364426
8456,41627431
36419,3606395
267860,205754447
27582,51070807
686142,0
312221,173567581
357096,0
567604,0
8922,59217789
715387,0
591629,0
9297,140175006
302946,155160045
411,745013115
649401,0
521034,889816
606625,3551439
525661,53774397
690846,0
664850,0
61791,482860185
82507,82515113
2668,206071502
254470,287506194
347969,0
38575,357852395
744470,0
581997,0
11970,252712101
11811,8556940
8273,231449203
652,497409852
109520,0
100402,714766572
9532,53302314
585077,0
335788,2602149
43074,229147509
354556,4803565
605368,0
407650,0
268,411348924
449176,66316289
19912,186167139
11324,294804195
207768,678604
460885,1214525
16871,90810892
5174,258022233
586347,0
688043,0
310131,40423945
109689,0
572802,0
101299,847423452
340382,0
60304,226349749
222935,307166834
391757,0
329865,203388186
249070,81967450
14160,735099082
330459,1056057273
518764,0
564,415885488
11249,24829644
408,184925486
486131,21360215
741755,0
16869,321455689
807,327311859
618350,0
571650,0
553610,0
190859,542307423
407436,0
810,798958165
166424,167977596
17654,210819611
734267,0
20222,0
487616,0
15165,0
13183,185258983
532444,20895905
452557,870322670
533642,44902237
55779,157887643
296917,0
10198,270997378
481203,0
138103,206172544
22794,242988466
654879,0
772,358994850
542224,0
4348,121147947
595985,0
1724,163712074
15255,0
19994,31556061
569016,0
463821,131457147
552178,13601384
522924,33766787
701062,5000
725239,0
663124,0
19576,0
1271,422610419
106,98267558
281957,532950503
9919,177371441
4258,78378744
620725,0
49018,97009150
589049,0
39101,0
504982,0
81188,306941670
254,562363449
39104,0
6537,78638987
610359,0
76757,183987723
13475,385680446
274862,123081555
232672,123494610
410685,0
353491,113231078
316029,432844677
341013,100014025
567970,0
47964,304654182
454294,32140970
597102,0
116322,0
1370,189015611
529149,0
500682,0
136797,203277636
38142,0
217993,5155325
764,29400000
10229,47494916
13053,309979994
335777,65146020
278927,966550600
10528,524028679
6933,26890
10681,521311860
257445,158162788
197158,0
740794,0
137113,370541256
738375,0
95,553799566
62214,35287788
1255,88489643
381289,194647323
746157,0
9820,92108518
14161,769653595
406563,167184112
580629,0
333622,0
78,41473619
112205,36894225
268531,125289450
11688,169327687
63404,0
274857,148675066
49013,559852396
487672,0
447185,0
609681,0
14164,57497699
459910,0
419430,255407969
1771,370569774
454615,0
39100,0
10555,367275019
144288,0
599396,0
393345,0
489999,66265218
525460,0
18240,317375031
441316,0
483898,0
80184,0
299687,109906372
18823,493214993
623034,0
11707,48143579
10283,14000000
7980,93621340
265208,0
39106,0
414906,0
516632,0
342473,2351359
531503,0
375533,0
630338,0
50546,214945591
1369,300400432
425505,10023153
586351,0
72784,10076790
440472,111353135
737568,0
262504,179246868
341174,378827494
472983,0
618352,0
401469,73866088
10895,84300000
460019,95330493
512901,0
273477,14860766
1374,300473716
395990,34017028
11186,35763605
552365,0
22970,71041255
58574,334615000
19288,0
10625,129042871
712327,0
41439,136150434
192577,17137302
564082,0
215,152925093
10607,0
68735,433677183
698783,0
533514,13777756
544810,0
611562,1000000
170,85720385
22843,41162041
953,542063846
241829,0
478820,0
509585,0
668343,0
379149,145374099
37724,1108561013
14438,33456317
188207,61279452
400928,40343446
540901,157600000
487670,0
243683,86165646
708336,0
27769,0
300669,159047649
11357,17768757
2109,244386864
375848,0
75629,60487945
834,111476513
4257,178262620
245992,0
44727,14817006
522964,0
242546,0
193893,136621271
39103,0
667018,0
416153,0
18009,2260622
652483,0
196761,0
133805,82394288
127533,61700000
440,130290885
624779,0
47533,0
2082,80253908
530956,0
551499,0
55301,342695435
419831,0
522212,50401502
740746,0
111,66023329
609338,0
282035,409231607
37169,252207
68718,425368238
8247,222231186
500475,20545116
73456,0
535167,0
13788,76514050
223702,140705322
343611,162146076
511679,0
295693,498814908
462650,0
1417,83258226
9645,68349884
497370,0
300671,69411370
592867,0
449563,0
739246,0
605,424988211
10225,19472057
519337,0
157433,112399944
507086,0
517116,0
44912,219851172
632632,0
78192,0
335360,60330833
398978,8000000
34004,0
265712,83061158
588,97607453
263472,6341684
38055,321885765
42246,0
12155,1025467110
11351,63102666
425134,26251899
608649,0
192141,54418872
149870,117932401
193756,149295601
9732,0
1366,117235147
337170,133511855
308531,245623848
43347,102820008
243688,95437994
10281,19170001
10413,0
429,25118063
290764,593683
658760,0
8871,345141403
214,163876815
210577,369330363
137106,469160692
109451,248384621
28178,46749646
590995,0
107846,122915111
590854,0
8961,273339556
8643,144216468
534,371353001
8920,200804534
537059,0
74997,0
399055,194989655
417320,0
508442,0
400106,0
72331,116471580
269955,0
567965,1015412
4232,173046663
607,589390539
476389,0
520788,0
662687,0
955,546388105
555748,0
524348,0
575769,1292773
1368,125212904
57165,301970083
465086,42800000
1735,401128639
4256,220673217
608654,0
450001,21832649
424,321365567
749336,0
370663,33673
649524,0
357390,0
368065,0
6114,215862692
201223,0
14869,302469017
36557,599045960
525554,0
169917,53181600
453201,57076286
740985,0
439157,0
623958,0
300368,0
287948,72629670
165,332000000
10066,68766121
498248,0
51482,0
630766,0
727404,0
267935,195243411
12594,0
22804,68233629
10665,82391145
631322,0
71670,0
114,463000000
1364,7640680
1250,228738393
350,326551094
68737,114178613
452970,2732673
520552,0
41498,53000000
445571,117501013
513691,0
745,672806292
531593,0
476926,0
290512,62832209
77931,347434178
444090,0
2907,191502426
283727,0
561362,0
599975,48021766
9323,2287714
338953,0
470878,86026201
44943,211819354
13002,0
10009,250397798
332210,182379278
611468,0
16859,18172849
12244,48428063
637395,0
28260,54207
310,484592874
1584,131282949
70006,0
522681,155313078
382322,3775000
1734,433013274
77338,426588510
346648,227300000
122906,87100449
388427,0
200085,19775853
13523,18755936
7191,170764026
594188,0
164558,0
1824,196482882
242512,103590271
20329,30231200
9291,190320568
37135,448191819
198901,0
110415,86758912
479626,0
474392,4873825
169,57120318
602307,0
10196,318502923
189349,0
379170,0
345009,1600000
273481,84025816
5175,347325802
10014,29999213
16366,0
150535,0
465136,6102076
399566,0
100042,169837010
10661,201596308
664184,0
632251,0
381719,351266433
10330,110230332
610643,0
557635,0
595503,0
324668,415484914
447743,0
34134,16441438
746047,0
11298,17985893
118301,0
407439,10940439
483980,0
181283,3324330
44874,0
351460,0
494656,0
188927,343471816
572609,0
44896,245724603
512412,0
567733,20440
391713,76858273
240,102600000
408648,0
356305,118034273
138832,269994119
62,71923560
523777,0
1970,183474602
620,295212467
277,95708457
136835,53830415
600,46357676
640,352114312
586863,0
737684,0
609197,0
21407,114000000
257088,133718711
36647,131183530
11596,18090181
369560,0
240341,0
566927,10700000
227859,0
699570,0
136418,8352885
187017,188441614
539,32000000
411135,0
277216,201634991
277217,0
27578,274470394
2758,48919043
438551,0
595203,0
259072,0
575446,0
10020,377350553
183011,0
49529,284139100
2454,419665568
49730,89162162
43593,83188165
929,379014294
8913,57469467
117263,161025640
673247,0
435615,0
401146,0
346651,0
85,389925971
91586,0
372519,37070177
123553,95396573
405774,0
1620,99965753
1893,924317558
37430,63523283
726649,0
258509,233755553
76617,0
10501,76432727
203739,15391979
1427,132180323
85446,140470746
11674,320689294
23398,443140005
272878,43967255
620897,0
458253,26249469
512196,25327500
490132,319700000
411143,0
2667,248639099
345934,0
61012,52302796
10781,51764406
438640,0
511491,0
458723,255105930
10764,589580482
312966,0
472715,0
366924,0
50544,149542245
513302,0
661090,0
10358,42105111
317952,0
585311,0
447665,4537
13207,91379051
6477,361366633
16007,27793200
298115,0
134374,87305549
500664,16593554
25642,0
419478,27365467
531428,9729987
359983,0
467938,692079
543540,0
258893,0
354857,0
242643,4571025
433950,0
158852,209154322
97020,242688965
12092,572000000
421285,0
4552,0
14564,83080890
439015,11817275
194662,103215094
384521,0
365222,156844753
1571,383531464
23437,115664037
679,183316455
354282,0
512936,0
188161,86410000
438747,0
347126,23507567
181533,363204635
185,26589000
55341,0
24,180899045
366668,0
41630,149228077
653601,0
31967,0
769,46836394
11531,0
437109,8737458
6844,122700000
55846,741875
350312,275947313
411088,30000000
333484,162360636
75258,0
93856,18112929
602,817400891
476299,0
44729,10494545
14199,69425966
412547,0
565,249348933
127380,1028570889
9487,363258859
298250,102952888
580489,0
77174,107139399
4564,415252786
162,53000000
238615,31807156
3980,13167232
205587,83719388
10882,51000000
20526,400062763
297556,0
637,229400000
11281,0
287590,0
387893,0
518244,0
12437,92158961
73723,348840316
457262,0
920,461983149
628446,0
10987,15116634
699249,0
296,435000000
502292,0
39513,97552050
465003,0
218043,19682924
726239,0
72570,196114570
75780,218340595
271718,140795793
451644,0
720755,0
459992,53847136
681580,0
637969,0
384680,29819114
313297,69929545
5255,310634054
9702,0
9358,90426405
417859,554987477
76649,117831631
9757,159313561
323027,0
434757,0
511343,0
582186,0
232842,0
310307,24121245
87428,58058367
10320,161451538
50253,0
87421,98337295
334543,140312928
505600,24849029
189,39407616
671318,0
654580,0
532620,0
41446,97138686
503616,72282227
112454,0
680601,0
513389,0
196,244527583
19287,0
239529,0
44833,303025485
346808,133332
211672,1156730962
1402,307077295
58431,16374328
652020,0
562,140767956
11449,86432000
565348,0
12429,202404009
117251,205366737
242582,50300000
627446,120645
460668,94539426
180894,0
81,3301446
466532,0
1927,245360480
84348,100345
227973,246233113
64688,201585328
9567,86468162
455207,237994561
13387,108979549
11770,42776760
397243,5972942
253412,203427584
10664,18469680
467824,0
377897,0
699060,0
82703,272912430
10483,76014335
440021,122637878
76726,145000000
575249,0
408647,0
11587,39024251
557132,0
264660,36869414
476669,0
39323,0
15016,0
492611,17500000
558144,0
256591,153962963
40662,6629178
87827,609016565
65,242875078
54138,467365246
9362,48572000
109428,97542952
405775,1803009
9334,165333180
744,356830601
10530,346079773
323272,67790117
11852,35081550
560050,0
34544,177238796
31011,2331721
40700,0
535265,0
25278,7090891
693019,0
438674,660132
212167,0
413644,46372519
72545,355692760
44918,0
11321,168167691
10065,108047131
393,152159461
471474,3469151
555974,20311536
9349,0
5559,287594577
118340,772776600
445954,320705
19286,0
7340,33800000
407451,132675864
91342,15489307
9360,136000000
3170,267447150
10676,14400000
300673,52099090
924,102356381
727959,0
495193,0
38939,0
15403,0
3600,40002112
741528,0
455236,0
743784,0
669727,0
531309,32893421
16281,21028755
460024,0
36202,0
509730,36120360
11237,0
12230,215880014
75612,286168572
531380,0
591,767820459
227159,107670357
487297,69766483
163,362744280
537655,0
9731,21930418
9728,36690067
89,474171806
324849,311950384
1371,270000000
435,544272402
2501,214034224
14003,0
616885,0
11430,0
81005,197687603
508791,1040000
128246,0
283445,52882018
480105,0
556803,0
146216,148100000
504997,0
571495,0
24615,0
455980,75100000
37137,86930411
11690,65000000
225745,0
27576,293329073
38,72258126
264419,9080818
526050,17399000
277806,0
10591,31635150
8856,115103979
294272,143695338
76589,0
616,456758981
1975,39143839
23168,154026136
21832,0
1979,301913131
132232,146497771
699254,0
587301,0
80518,7401480
258489,356743061
10527,603900354
578701,0
437031,5000000
605255,0
10216,19165560
437557,94017294
5548,53424681
9738,333535934
57737,0
72213,34522221
255718,0
136795,158674180
316023,77068246
387592,53431158
311,5472914
515743,0
1924,300218018
635048,0
6947,256697520
109414,126041322
325133,108758521
15575,0
599520,0
730647,0
9804,264218220
610892,10841702
16000,0
549165,0
473033,50020902
76163,314975955
669504,0
13811,155446362
439059,0
415214,173000000
756,83320000
15157,0
575479,0
8839,287928194
506528,0
8078,162000000
8329,32511655
854,351583407
262841,64493915
14069,3800000
166268,0
11284,34872033
1573,240031094
52520,160112671
586344,0
524247,25724305
36648,128905366
10992,93375151
417384,95438172
111332,0
256835,0
339988,20497844
10312,202292902
15015,0
14,356296601
22538,47664559
39102,0
12222,297138014
10140,415686217
6068,164000000
11887,252909177
15070,14946150
9509,130293714
665,164000000
588009,0
179538,0
18095,0
11544,145771527
1562,65048678
201088,17752940
10947,0
70160,691210692
360605,0
121856,240697856
44214,329398046
8328,150816700
560527,0
313943,0
304023,0
7485,95696996
123025,0
676,449220945
133121,0
651070,0
11036,115603229
10386,23159305
4961,25480490
290595,164989338
527435,0
2503,442824138
588073,0
9762,114194847
16996,136267476
417678,61621140
748911,0
25769,5802422
103,28262574
15137,223839
644613,0
464889,0
521647,0
414,336529144
161,450717150
273248,155760117
126963,50353002
491418,14700000
502416,51749995
84892,33400000
565989,0
13161,0
9470,101434304
373879,0
49849,174822325
9836,384335608
252838,79799880
41154,624026776
734586,0
39691,112483764
2005,231605150
392536,0
23483,96188903
1891,538400000
82700,243843127
345915,855888
531597,0
297270,0
4147,181001478
628,223664608
505379,0
1422,291465034
752,132511035
500,2859750
62835,60965854
52629,0
479718,52946454
286567,6272403
498860,0
11978,48814909
673174,0
312793,0
1895,850000000
551804,0
58595,396600000
24150,0
347413,0
63,168840000
82654,116980662
323372,0
9802,335062621
50646,142851197
18,263920180
502581,0
19913,60722734
129533,0
413362,11942780
207932,220021259
301351,11122090
588787,0
491480,0
154400,19054534
554576,0
280092,104303851
449132,0
41233,159291809
51876,161849455
13680,147880543
2048,347234916
2502,288500217
330764,0
10489,21200000
204342,0
21481,0
2123,149270999
558,783766341
41513,563749323
475220,0
316322,0
17101,0
434555,41036181
11247,70067909
9543,335154643
744013,0
346,271842
436391,0
149,0
37950,48190704
674944,0
9072,101595121
571,11403529
115,46189568
88751,101702060
351211,45172994
204922,15447154
431530,130560428
450873,0
13285,0
64690,78054825
284303,2193474
370172,0
17918,0
201085,74679822
568091,0
489939,0
618433,0
11395,189833357
28,150000000
292011,33904605
22894,67918658
32985,19652185
22164,0
333596,14394097
9966,55060212
49017,217124280
249397,2227167
23047,91627228
664280,0
454293,33157615
526051,1119537
12536,0
436931,2401722
11586,30749142
428099,0
83088,0
10112,55675257
632931,0
9312,122195920
49040,276572938
9003,14564027
445629,39055536
499338,0
9339,240685326
179923,0
1894,649398328
37797,0
36586,155010032
9651,14296438
296864,0
478860,0
59967,47042000
598,30641770
14442,0
7092,0
18925,10178331
22824,47709193
724717,0
454227,0
489,225933435
598215,0
15906,0
3131,193772504
10867,14493284
949,187436818
607334,0
34851,127233108
39148,0
493006,101860359
7978,0
855,172989651
43949,1755212
592480,0
417261,16367326
4233,172363301
613099,0
505058,9602624
615177,0
533715,0
51828,59389433
10545,100138851
10567,354248063
436053,0
432057,1488577
369821,0
463272,158256993
13448,356613439
4951,53478166
339527,22586863
